Issue Type,Priority,Issue key,Issue id,Summary,Assignee,Reporter,Status,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Custom field (Found in Build),Created,Resolution
Defect,2 - High,PLAT-22344,22466455,CLONE - Import fails using scheduled import,sbollu,sbollu,Need More Info,7.6,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.4.0.14,19/11/2018 09:12,
Defect,2 - High,PLAT-22346,22466658,SAA receiving Function FLTS_mpf_wait with result failure (Intermittent Failure),AManayangath,muhammad.rieza,New,,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.1.53,20/11/2018 10:36,
Defect,2 - High,PLAT-22352,22466886,CLONE - Worldcheck premium list is imported with Domain_ID 2 (AML),AManayangath,JKerkhofs,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.6.0.4,22/11/2018 13:29,
Defect,2 - High,PLAT-22361,22467468,CLONE - SWIFT MX Exclusion Rules fail if more than one multi-value field is used,Pnolan,reka.giday,New,7.2.1,,,,,,,,,,,,,,,,,,,,,,7.2.,7.6,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.1.49,28/11/2018 16:32,
Defect,2 - High,PLAT-22373,22468195,CLONE - Match Exclusion not working correctly if two matches in same alert but only one is excluded,EFitzgerald,jacekmichalowski,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.6.0.7,05/12/2018 09:09,
Defect,2 - High,PLAT-22379,22468929,CLONE - Messages are ingested off of MQ before the Processing Core/Schedule is initialised resulting in Error in Schedule initialisation,Pnolan,ADuggan,New,7.7,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,Services Manager,,,,7.3.1.5,12/12/2018 15:26,
Defect,2 - High,PLAT-22396,22471739,CLONE - NR TM DEV Patch 2.2.0.0 - Illegal attempt to associate a collection with two open sessions,,kmackenna1,New,7.6,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Administration,,,,,7.1.1.7,18/01/2019 14:11,
Defect,2 - High,PLAT-22401,22472234,AlertTagging job doesn't end,EBaggott,MvanLaere1,New,,,,,,,,,,,,,,,,,,,,,,,7.3.1,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,7.3.1.6,24/01/2019 07:29,
Defect,2 - High,PLAT-22419,22473216,Alert Key not saved in Match Exclusion,AManayangath,maartentreunen,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.6.0.7,04/02/2019 15:30,
Defect,2 - High,PLAT-22422,22473432,WLM - problem with deleting rows from a Standard List,laura.figurniak,laura.figurniak,Resolved,7.7,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.7.0.3,06/02/2019 15:19,Fixed
Defect,2 - High,PLAT-22442,22474200,full SWIFT message highlighting concurrency issue in TagTransformers,AManayangath,MvanLaere1,New,,,,,,,,,,,,,,,,,,,,,,,7.2.,7.3,7.4,7.5,7.6,7.7,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.7.0.1,14/02/2019 14:20,
Defect,2 - High,PLAT-22459,22474951,CLONE - Error Exporting WLM Config,dchee,dchee,Resolved,8.0.1,8.1,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.6.0.6,20/02/2019 09:16,Fixed
Defect,2 - High,PLAT-22472,22475639,java.lang.ArithmeticException: divide by zero after worldcheck import,AManayangath,TRomano,New,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.5.0.10,27/02/2019 09:51,
Defect,2 - High,PLAT-22497,22476285,CLONE - 154: Missing info on user details screen,Pnolan,katipallyvasantha.kumari,New,7.6,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Administration,,,,,7.6,06/03/2019 05:29,
Defect,2 - High,PLAT-22526,22477139,eName checker screen - Column is not freeze and not fit into one page,EFitzgerald,DNamoro1,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Other,,,,,0,14/03/2019 03:52,
Defect,2 - High,PLAT-22534,22477498,CLONE - After kill/terminate the active user session still not able to access,Pnolan,dchee,New,7.6,7.7,8,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Administration,,,,,7.6.0.10,18/03/2019 09:26,
Defect,2 - High,PLAT-22542,22478031,CLONE - ORG Searches Using reserved.funciton.call.FilterGenerator have a Limit of 1000,Pnolan,VSavkoor,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.0.1,,,,,,,,,,,,,,,,,,,,,,Administration,,,,,7.0.1.6,20/03/2019 17:44,
Defect,2 - High,PLAT-22543,22478041,CLONE - Internal List Name + DOB Match alert with no REASON_RAISED_ON_ID and REASON_RAISED_ON_REF_ID ,AManayangath,ZHtet,New,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.0.14,20/03/2019 22:34,
Defect,2 - High,PLAT-22545,22478267,CLONE - Workflow action buttons - not considering org unit and domain permissions,AHMTalib,harika.kurada,New,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.2.0.14 ,22/03/2019 05:44,
Defect,2 - High,PLAT-22557,22478919,FTS DB scripts present in the build even after removing the module from configuration.xml,JLalor,KVatsa,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Other,,,,,7.7,28/03/2019 03:25,
Defect,2 - High,PLAT-22565,22479815,Hijack of code to cater for DHC deadlocks when multiple clusters need to be merged,EBaggott,ADuggan,New,,,,,,,,,,,,,,,,,,,,,,,7.3,7.3.1,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,7.3.1.5,04/04/2019 10:53,
Defect,2 - High,PLAT-22567,22479874,CLONE - Single lookup not showing all input fields,AManayangath,ADuggan,New,8.1,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.5.0.11,04/04/2019 15:57,
Defect,2 - High,PLAT-22574,22480191,CLONE - Error message when performing single lookup for new datasource,Pnolan,TRomano,New,,,,,,,,,,,,,,,,,,,,,,,7.2.,7.2.1,7.3,7.3.1,7.4,7.5,7.6,7.7,,,,,,,,,,,,,,,Database,,,,,7.5.0.9,09/04/2019 12:09,
Defect,2 - High,PLAT-22579,22480294,Configuration with setter set to monthly reset can't be productionized,EBaggott,lukasz.pacan,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,Core 7.6.0.4 + SM DUX 7.7.5-SMC-a217 ,10/04/2019 10:19,
Defect,2 - High,PLAT-22586,22480767,CLONE - Unable to trigger Full Subject vs Delta list Check Name,rozyali,rozyali,Resolved,8.0.1,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.7.0.2,15/04/2019 11:15,Fixed
Defect,2 - High,PLAT-22587,22480771,CLONE - Content > Attached Files: 'File Type' field not displaying the expected value,JLalor,jie.basir,New,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.7.0.2,15/04/2019 11:33,
Defect,2 - High,PLAT-22588,22480774,CLONE - Associated Parties section: 'Create New' button will be missing after performed cancel action,Pnolan,jie.basir,New,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.7.0.2,15/04/2019 11:56,
Defect,2 - High,PLAT-22615,22482740,Fraud Calendar Day Issues,EBaggott,josephwilliams,New,,,,,,,,,,,,,,,,,,,,,,,7.1.,,,,,,,,,,,,,,,,,,,,,,Batch Bridge,,,,,7.1,06/05/2019 05:13,
Defect,2 - High,PLAT-22781,22483765,[EUS000316-104] C&C Reports - Error on the Export Summary View (Top right corner),Pnolan,satishshenoy,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Command and Control,,,,,7.7,14/05/2019 15:34,
Defect,2 - High,PLAT-22630,22483876,Insecure Direct Object Reference (IDOR),ADuggan,ADuggan,Resolved,8.1,,,,,,,,,,,,,,,,,,,,,,7.3.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.3.1.6,15/05/2019 11:04,Fixed
Defect,2 - High,PLAT-22644,22484536,Error when importing WLM config,AManayangath,stephane.baudet,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.7.0.6,20/05/2019 17:40,
Defect,2 - High,PLAT-22640,22484570,CLONE - Match Exclusion - save exclusion no alert throws error,KOReilly,KOReilly,Resolved,7.6,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Services Manager,Watchlist Manager,,,,7.6.0.9,21/05/2019 07:12,Fixed
Defect,2 - High,PLAT-22642,22484633,Issue Sync Test - Match Exclusion - save exclusion no alert throws error,KOReilly,KOReilly,Resolved,7.6,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Services Manager,Watchlist Manager,,,,7.6.0.9,21/05/2019 12:23,Fixed
Defect,2 - High,PLAT-22648,22484890,CLONE - Upgrading JBOSS EAP 7.1.6 can not able to see menus,andrewredmond,niravpota,Assigned,7.7,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Administration,,,,,7.7.0.4,22/05/2019 21:01,
Defect,2 - High,PLAT-22656,22485676,[EUS000316-101] send email form and application - from wlm /CDD ODD case fails,Pnolan,archanasundararajan,New,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Administration,,,,,7.7,31/05/2019 14:14,
Defect,2 - High,PLAT-22671,22486567,CLONE - From to calendar fields in CPF screen - page 2 is enabled but calendar icon disabled,Pnolan,archanasundararajan,New,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.7,10/06/2019 16:54,
Defect,2 - High,PLAT-22690,22486810,CLONE - WLM - FuzzyAbbrevation scores are lower than expected,AManayangath,UBrell,Reopened,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.5,12/06/2019 16:53,
Defect,2 - High,PLAT-22694,22488223,Clicking Refresh from Homepage throws CFG-10011,Pnolan,SHanley,New,,,,,,,,,,,,,,,,,,,,,,,7.5,7.6,7.7,8,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.0.0.1,25/06/2019 11:31,
Defect,2 - High,PLAT-22703,22489222,CLONE - [WCM2-1988] ME Data Source Fields back to default value after importing Rule Set,,EFitzgerald,Assigned,8.1,,,,,,,,,,,,,,,,,,,,,,7.7,8,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,222,03/07/2019 14:38,
Defect,2 - High,PLAT-22707,22489653,Dow Jones REFRESH import runs without error but some tables are not populated,ADuggan,ADuggan,Resolved,8,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.0.0.2,09/07/2019 12:25,Fixed
Defect,2 - High,PLAT-22711,22489831,CLONE - Upgrade - Single lookup alert not generating,EFitzgerald,ilynroseabletes,New,8.1,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.7.0.2,11/07/2019 04:43,
Defect,2 - High,PLAT-22718,22490277,CLONE - Error when storing alert and using Match Exclusion rules,jaroslawsmolinski,EFitzgerald,New,8.1,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,10101,16/07/2019 18:16,
Defect,2 - High,PLAT-22723,22491508,Lack of installer.xml for SMBD installation,TMurphy,zbyszko.nowak,New,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Other,,,,,2.0.0.6 and all the rest,26/07/2019 12:21,
Defect,2 - High,PLAT-22724,22491570,Misalignment of CSV exported reports,Pnolan,illyanelaramontiel,New,7.6,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,NA,29/07/2019 06:56,
Defect,2 - High,PLAT-22738,22491985,Ruleset validateUserScreenAccess behaviour depends on order of groups assigned to user,andrewredmond,arturrajski,New,7.6,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,7.6.0.11,01/08/2019 03:05,
Defect,2 - High,PLAT-22740,22492275,Importing base configuration adds additional external connector entries,Pnolan,dariusjones,New,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,Core Version 8.0.0.2 Core Build Date 2019-05-13 Client Version 5.0.0.0 Client Build Number 1 Client Build Date 2019-07-15 07:52:28,05/08/2019 19:18,
Defect,2 - High,PLAT-22741,22492293,CLONE - 498: Hitting error message when try to add a row in RHB AML list,AManayangath,katipallyvasantha.kumari,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.6.0.10,06/08/2019 05:58,
Defect,2 - High,PLAT-22752,22493161,CLONE - [SR2019] Tags with 8 characters BIC are parsed and stored in xx_bic11 and not in xx_bic (Specific to TagTransformer: GeneralOptionJFieldExtensionTransformer),EKilleen,komalanityanandam,New,8.1,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.6.0.5,14/08/2019 08:51,
Defect,2 - High,PLAT-22761,22493511,'preservePaging' parameter is not availabe for Interactive List section,Pnolan,yanggossert,New,,,,,,,,,,,,,,,,,,,,,,,7.3.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.3.1,19/08/2019 21:14,
Defect,2 - High,PLAT-22773,22494671,SMBD error appears on IUCustomer profiling,EBaggott,zbyszko.nowak,New,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,2.0.0.9,02/09/2019 13:40,
Defect,2 - High,PLAT-22786,22495667,Not possible to add an extra condition to an exisition data source condition,AManayangath,TRomano,New,8.1,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.7.0.7,11/09/2019 13:59,
Defect,2 - High,PLAT-22793,22496286,CLONE - No hit when hit is expected,AManayangath,ADuggan,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.4,7.5,7.6,7.7,8,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.5.0.10,17/09/2019 09:52,
Defect,2 - High,PLAT-22795,22496461,CLONE - DUPLICATE - Extra Processing time for payments due to Normalizatiosn cache reset in backend,AManayangath,ADuggan,New,,,,,,,,,,,,,,,,,,,,,,,7.7,8,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.7.0.7,18/09/2019 12:21,
Defect,2 - High,PLAT-22797,22496596,CLONE - TCH- Report URL is not getting encrypted,Pnolan,sujatha.prabhu,Assigned,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.0.1.3,19/09/2019 15:24,
Defect,2 - High,PLAT-22801,22496808,CLONE - Upgrade - Multiple addition options not working as expected - MultiValue Fields not working as expected,KVatsa,srinivas.boini,New,7.7,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.7.0.2,23/09/2019 08:22,
Defect,2 - High,PLAT-22811,22498097,CLONE - 675: PEN Test: Weakness in Session Management may allow Session Hijacking,Pnolan,surenbabu.kakarla,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,7.6.0.10,03/10/2019 08:22,
Defect,2 - High,PLAT-22818,22498876,CLONE - Batch Event Ids are getting off when job process failed and trying to resume,TMurphy,niravpota,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,CDD,,,,,7.7.0.7,09/10/2019 15:20,
Defect,2 - High,PLAT-22830,22500003,CLONE - Full List of Transactions Not Displayed under List View,Pnolan,emilyongws,New,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,5.0.1,18/10/2019 12:54,
Defect,2 - High,PLAT-22854,22501452,Swift Tag 59F Fail With 2/ or 3/ In Line 1,waichungkhoo,waichungkhoo,Resolved,8.1,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.6.0.5,01/11/2019 09:08,Fixed
Defect,2 - High,PLAT-22862,22502185,"CLONE - 206: CDD Work Flow- When attached 600MB File Size in CDD Work Flow the EIM_Aler_Add attachment Screen is navigating to a Page Displaying, This page cannot be Displayed",Pnolan,katipallyvasantha.kumari,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,7.6.0.10,07/11/2019 10:04,
Defect,2 - High,PLAT-22867,22502734,CLONE - Multivalue Index Search,AManayangath,IJaitly,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.6.0.11,13/11/2019 12:21,
Defect,2 - High,PLAT-22913,22505942,"Name +  CUSTOMER_TYPE + DELTA_RECORD_FLAG  Match alert with no REASON_RAISED_ON_ID and REASON_RAISED_ON_REF_ID	",AManayangath,ukgarlapati,New,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.0.1.5,12/12/2019 02:28,
Defect,2 - High,PLAT-22917,22506042,Message failed in Version 7.7 but the same message passed in Version 6.7,amar.amsar,amar.amsar,Resolved,8.1,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.7.0.2,13/12/2019 08:22,Fixed
Defect,2 - High,PLAT-22924,22506708,Assigned Risk is not resolved correctly when Risk Model has changed,TMurphy,arturrajski,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,CDD,,,,,7.6.0.13,19/12/2019 23:11,
Defect,2 - High,PLAT-22930,22507195,CLONE - WLM config partial merge failing in 7.7,AManayangath,sonalaggarwal,New,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.7.0.10,06/01/2020 09:39,
Defect,2 - High,PLAT-22934,22507522,NPE during WLM processing when Match Exclusion Cache is refreshed,MvanLaere1,MvanLaere1,Resolved,8.1,,,,,,,,,,,,,,,,,,,,,,7.7,8,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.7.0.10,08/01/2020 11:27,Fixed
Defect,2 - High,PLAT-22942,22507819,Administration audit log is not capturing the amendments made to the groups,Pnolan,marcin.kowalski,New,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,3.9.0,10/01/2020 09:56,
Defect,2 - High,PLAT-22948,22508108,Unable to Export CSV Report,ASomani,waichungkhoo,Assigned,7.6,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Application Builder,Base Platform,,,,7.6,14/01/2020 10:10,
Defect,2 - High,PLAT-22951,22508531,[DOA-156] Neteveal file not moving from waiting folder.,Vikki,Vikki,New,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,Base Platform,Batch Bridge,,,,7.5.0.12 ,17/01/2020 08:27,
Defect,2 - High,PLAT-22999,22511630,Can't open a SM config in DUX if no profile fields are defined,EBaggott,stephane.baudet,New,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,8.0.0.2,13/02/2020 17:04,
Defect,2 - High,PLAT-23006,22512325,PO (Parameter Optimization) throws exceptions for custom functions like DAYDIFF,maartentreunen,chrismagpantay,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.4,7.5,7.6,7.7,8,8.0.1,8.1,,,,,,,,,,,,,,,,Scenario Manager,,,,,7.4.0.14,18/02/2020 17:37,
Defect,2 - High,PLAT-23012,22512829,Multi Values not separated in Internal Watch List Detailed Row Info.,AManayangath,vysakhsomaraj,New,,,,,,,,,,,,,,,,,,,,,,,8.0.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.0.1.8,24/02/2020 05:01,
Defect,2 - High,PLAT-23014,22512850,log4j DEBUG for WLM causes WLM batch failure,ramyanisharamanan,ramyanisharamanan,Resolved,8.1,,,,,,,,,,,,,,,,,,,,,,8.0.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.0.1,24/02/2020 10:23,Fixed
Defect,2 - High,PLAT-23016,22512894,"WLM confgiuration import using ""Refresh"" mode is getting failed (Double deletion)",AManayangath,MvanLaere1,New,,,,,,,,,,,,,,,,,,,,,,,7.7,8,8.1,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.7.0.10,24/02/2020 14:48,
Defect,2 - High,PLAT-23022,22513525,WLM rollup by checkname is missing Transaction.InputRecord. from container,AManayangath,TRomano,New,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.5.0.12,28/02/2020 11:35,
Defect,2 - High,PLAT-23024,22513788,AML Processing: ClassCastException: java.lang.Long incompatible with java.lang.String,kmackenna1,adrian.feldfeber,New,,,,,,,,,,,,,,,,,,,,,,,6.1.2,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,6.1.2.41,03/03/2020 09:56,
Defect,2 - High,PLAT-23027,22514130,CLONE - AML 7.7: Javascript code displayed on screen,Pnolan,JKerkhofs,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.7.10,04/03/2020 07:47,
Defect,2 - High,PLAT-23030,22514308,CLONE - WLM indexing on Table List COMPARE_TYPE date.empty (-19) throw sqlException,AManayangath,ZHtet,Need More Info,,,,,,,,,,,,,,,,,,,,,,,8.0.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.0.1.5,04/03/2020 23:12,
Defect,3 - Medium,PLAT-20478,22413209,CLONE - Modifying user queue's displays 'no rows found' till you press the username hyperlink,Pnolan,jacquelynmurphy,New,,,,,,,,,,,,,,,,,,,,,,,7.2.,,,,,,,,,,,,,,,,,,,,,,Workflow Configurator,,,,,7.2.1.8,13/12/2016 00:05,
Defect,3 - Medium,PLAT-20483,22413523,CLONE - WLM Block / Release final sequence to use configured sequences,Pnolan,RNathan,Verified,7.2.1,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Services Manager,,,,,7.2.1.29,16/12/2016 04:11,Fixed
Defect,3 - Medium,PLAT-20486,22413571,Interactive list section does not resize when filters are hidden.,Pnolan,EFitzgerald,New,,,,,,,,,,,,,,,,,,,,,,,7.3.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,12356,16/12/2016 14:54,
Defect,3 - Medium,PLAT-20497,22413705,BootStrap TreeView - changes in one tree affects other trees on the screen if there are more than one,Pnolan,rjanicki,New,7.3,7.3.1,,,,,,,,,,,,,,,,,,,,,7.3,7.3.1,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.3.1.0-a3,20/12/2016 10:21,
Defect,3 - Medium,PLAT-20504,22413895,LinkProcessingJob doesn't use transaction,AManayangath,JKerkhofs,New,,,,,,,,,,,,,,,,,,,,,,,7.1.1,7.2.1,7.3,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.1.1.8,22/12/2016 16:01,
Defect,3 - Medium,PLAT-20507,22414006,OCBC KYC WF - link SM/WLM Alert to New/Current/Existing Case fails with CBP-10200 - System Error!,MSundaram,MSundaram,Resolved,7.2.1,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Other,,,,,7.2.1.39,29/12/2016 09:09,Fixed
Defect,3 - Medium,PLAT-20511,22414134,CLONE - Unable to execute function [CDD_ScoreCustomer (SCM-SCORE - 10)],,jayarnaiz,New,,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,CDD,,,,,7.2.1.24,04/01/2017 05:33,
Defect,3 - Medium,PLAT-20701,22414320,CLONE - NetReveal ID A161100081723,KVatsa,KVatsa,Resolved,7.2.,,,,,,,,,,,,,,,,,,,,,,7.2.,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.1.28,06/01/2017 04:38,Fixed
Defect,3 - Medium,PLAT-20514,22414338,WLM Generic List auditing BULK insert is not updating the updated timestamp for a delete action,AManayangath,briansexton2,New,,,,,,,,,,,,,,,,,,,,,,,7.2.,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.1.38,06/01/2017 13:18,
Defect,3 - Medium,PLAT-20519,22414626,finishLock needs to be called in ProfileStoreMemory.insert method,AShaw,kmackenna1,New,,,,,,,,,,,,,,,,,,,,,,,6.7.0,6.7.1,6.7.2,7.0.,7.1.,7.2.,7.3,,,,,,,,,,,,,,,,Scenario Manager,,,,,6.7.0.5,10/01/2017 10:55,
Defect,3 - Medium,PLAT-20520,22414677,[Merge to 7.1] WLM - Factiva Import not storing DOB Date notes,UBrell,UBrell,Resolved,7.1.1,,,,,,,,,,,,,,,,,,,,,,7.1.,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.1,10/01/2017 15:56,Fixed
Defect,3 - Medium,PLAT-20526,22414701,"CLONE - Auto Import Job for scenario manager does not import ""predictive models""",AShaw,josephwilliams,New,,,,,,,,,,,,,,,,,,,,,,,7.1.1,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,7.1.1.10,10/01/2017 19:33,
Defect,3 - Medium,PLAT-20530,22414908,"CLONE - Queuing and Routing configuration import errors when ""import subscribers"" checked on",jonasfolgado,KGudivada,New,8.1,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Workflow Configurator,,,,,7.2.1.10,12/01/2017 15:43,
